YR,MON,EMI
1891,7,-0.0545997
1891,8,0.165643
1891,9,0.240039
1891,10,0.21545
1891,11,0.186976
1891,12,0.0796352
1892,1,-0.27148
1892,2,-0.140006
1892,3,-0.197398
1892,4,-0.303154
1892,5,-0.0620354
1892,6,-0.037286
1892,7,-0.0278159
1892,8,-0.0708448
1892,9,-0.318723
1892,10,-0.433293
1892,11,-0.556213
1892,12,-0.0496548
1893,1,0.155995
1893,2,0.039292
1893,3,-0.350508
1893,4,-0.678859
1893,5,-0.698598
1893,6,-0.781597
1893,7,-1.15884
1893,8,-1.05868
1893,9,-0.952874
1893,10,-0.92339
1893,11,-0.90034
1893,12,-0.577658
1894,1,-0.714295
1894,2,-0.83734
1894,3,-0.591662
1894,4,-0.558248
1894,5,-0.509662
1894,6,-0.443402
1894,7,-0.546421
1894,8,-0.3377
1894,9,-0.621235
1894,10,-0.378826
1894,11,-0.30133
1894,12,-0.162425
1895,1,-0.289977
1895,2,-0.0656843
1895,3,0.112852
1895,4,0.0287353
1895,5,-0.00571084
1895,6,-0.131341
1895,7,-0.0764806
1895,8,0.242448
1895,9,0.104016
1895,10,-0.210315
1895,11,-0.0303288
1895,12,-0.143621
1896,1,-0.382838
1896,2,-0.29836
1896,3,0.0547882
1896,4,-0.108185
1896,5,-0.0769271
1896,6,-0.383793
1896,7,0.147007
1896,8,0.345018
1896,9,0.405727
1896,10,0.464639
1896,11,0.158984
1896,12,0.153299
1897,1,0.258623
1897,2,0.109194
1897,3,-0.0733649
1897,4,-0.313793
1897,5,-0.268702
1897,6,-0.12891
1897,7,0.0903607
1897,8,0.02138
1897,9,0.180362
1897,10,-0.418369
1897,11,-0.519557
1897,12,-0.385686
1898,1,-0.480551
1898,2,-0.339449
1898,3,-0.253951
1898,4,-0.0426148
1898,5,-0.0402313
1898,6,0.151649
1898,7,-0.162915
1898,8,-0.254659
1898,9,-0.00637841
1898,10,-0.265816
1898,11,-0.421665
1898,12,-0.513892
1899,1,-0.732392
1899,2,-0.562945
1899,3,-0.525431
1899,4,-0.31605
1899,5,-0.154839
1899,6,-0.238962
1899,7,0.138724
1899,8,-0.15697
1899,9,-0.265818
1899,10,0.381246
1899,11,0.470442
1899,12,0.622722
1900,1,0.285908
1900,2,-0.0176035
1900,3,-0.0421542
1900,4,-0.0234697
1900,5,0.0300745
1900,6,-0.0511131
1900,7,0.155133
1900,8,0.324821
1900,9,0.323239
1900,10,0.554057
1900,11,0.415043
1900,12,0.490306
